image;Majority Human;GPT-4o;GPT-4o Explanation
cdu/2021-09-24_16-13-02_UTC.jpg;Campaign Event;Campaign Event;The image shows a person speaking at a podium with a backdrop featuring political party logos and slogans, indicating a formal political event.
fdp_20-09-2021_00:00_image15.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium with a microphone, which suggests a formal setting typical of a campaign event. The presence of text with a quote and the party logo further supports this classification.
christianlindner_17-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event;The image shows a formal setting with speakers at podiums, indicating a political event or press conference.
christianlindner_20-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking, likely at a campaign event, with a quote overlaid. The setting and context suggest a formal speech or address.
robert.habeck_18-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event;The image shows a person speaking in front of an audience, indicating a public setting typical of a campaign event.
christianlindner/2021-09-26_17-24-53_UTC_2.jpg;Campaign Event;Campaign Event;The image shows a group of people standing on a stage with a podium, indicating a formal gathering or announcement. This setting is typical of a campaign event where speeches or presentations are made to an audience.
cdu/2021-09-20_16-32-49_UTC_3.jpg;Campaign Event;Campaign Event;The image shows a politician speaking into a microphone with a logo, indicating a public setting. This suggests it is part of a formal gathering or event.
dielinke_25-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event;The image shows a person speaking at a podium with a backdrop featuring political branding, indicating a formal gathering or speech.
christianlindner/2021-09-17_19-33-56_UTC_9.jpg;Campaign Event;Campaign Event;The image shows a public gathering with a speaker on stage addressing an audience, which is characteristic of a political rally or event.
robert.habeck/2021-09-23_09-08-52_UTC_3.jpg;Campaign Event;Campaign Event;The image shows a public gathering with a speaker addressing a crowd from a stage, which is typical of a political rally or event.
olafscholz_22-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event;The image shows a politician on stage, likely at a campaign event, with text expressing gratitude for the day in Niedersachsen. The presence of stage lighting and the context suggest a public event setting.
christianlindner/2021-09-17_13-01-40_UTC.jpg;Campaign Event;Campaign Event;The image shows a person speaking into a microphone, likely at a public event, which suggests it is part of a formal gathering or speech.
armin_laschet/2021-09-20_14-07-14_UTC_2.jpg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium with a backdrop featuring a campaign slogan, indicating a formal setting typical of a campaign event.
fw_bayern_20-09-2021_00:00_video4.jpeg;Campaign Event;Campaign Event;The image shows a person speaking at a podium with campaign materials visible, indicating a formal gathering or event related to the campaign.
abaerbock/2021-09-15_13-20-23_UTC_7.jpg;Campaign Event;Campaign Event;The image shows a large gathering of people in front of a stage set up near a prominent building, indicating a public event or rally.
christlichsozialeunion_20-09-2021_00:00_video5.jpeg;Media Work;Media Work;The image shows a setup with a green screen and people at a desk, indicating a media production environment. The presence of a 'LIVE' indicator suggests a broadcast or recording, which aligns with media work.
olafscholz_18-09-2021_00:00_video3.jpeg;Media Work;Media Work;The image shows a politician being interviewed by a media outlet, which is indicative of media coverage.
olafscholz_18-09-2021_00:00_video8.jpeg;Media Work;Campaign Event;The image shows a panel discussion or talk event with multiple people on stage, which is indicative of a formal gathering or political event.
christlichsozialeunion_24-09-2021_00:00_video9.jpeg;Media Work;Media Work;The image shows a studio setup with a panel, likely for a televised discussion or debate related to the election, which fits the description of media coverage.
abaerbock_22-09-2021_00:00_image13.jpeg;Media Work;Campaign Event;The image shows a person seated in a formal setting, likely participating in a discussion or panel, which is indicative of a campaign event. The presence of a quote related to climate neutrality suggests a public speaking context.
christlichsozialeunion_17-09-2021_00:00_video3.jpeg;Media Work;Media Work;The image shows a person being interviewed with professional camera equipment visible, indicating media coverage.
christlichsozialeunion_20-09-2021_00:00_video6.jpeg;Media Work;Media Work;The image shows a studio setup with a green screen and people standing at a desk, indicating a media production environment. The presence of a 'LIVE' indicator suggests a broadcast or recording session.
christlichsozialeunion_17-09-2021_00:00_video5.jpeg;Media Work;Social Media Moderation;The image shows a person speaking in front of a building with text overlay, suggesting a message or statement being made, likely for social media. This setup is typical for informal, direct communication with the audience.
spdde_25-09-2021_00:00_video10.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person speaking directly to the camera in a casual setting, which suggests a spontaneous and personal connection typical of social media engagement.
afd.bund_23-09-2021_00:00_video16.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person speaking directly to the camera in an outdoor setting, likely at a public event. This suggests a casual, direct engagement typical of social media content.
afd.bund_23-09-2021_00:00_video15.jpeg;Social Media Moderation;Campaign Event;The image shows a person speaking in an outdoor setting with a crowd and equipment visible, suggesting a public event or gathering.
cdu_20-09-2021_00:00_video12.jpeg;Social Media Moderation;Social Media Moderation;The image shows an individual speaking directly to the camera in a casual setting, likely for social media engagement.
cdu_20-09-2021_00:00_video25.jpeg;Social Media Moderation;Social Media Moderation;The image shows individuals in a casual setting, likely engaging directly with the camera in an informal manner, which is typical of social media content.
spdde_25-09-2021_00:00_video0.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person casually engaging with the camera in a non-formal setting, likely for social media purposes. The informal and personal nature suggests it is intended for direct audience engagement.
christlichsozialeunion_16-09-2021_00:00_video7.jpeg;Social Media Moderation;Social Media Moderation;The image shows a politician speaking directly to the camera in an informal setting, likely for social media engagement.
cdu_13-09-2021_00:00_video16.jpeg;Social Media Moderation;Media Work;The image shows a person speaking in front of a sign that says 'Das Triell,' which suggests a media-related event or debate. The setting and context imply media coverage or involvement.
die_gruenen_25-09-2021_00:00_video3.jpeg;Campaign Event;Review;The image shows a person holding a protest sign during a climate strike, which is related to political activism but not directly a campaign event or material. It doesn't fit neatly into any specific category, so it requires further review.
nicola_beer_20-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a formal gathering with a stage and audience, typical of a political event such as a party congress or conference.
robert.habeck/2021-09-24_20-23-24_UTC_3.jpg;Campaign Event;Campaign Event;The image shows a person holding a sign related to climate protection, likely at a public gathering or protest. This setting suggests a campaign event where individuals express their support for political causes.
dielinke/2021-09-24_13-08-21_UTC_2.jpg;Campaign Event;Review;The image shows a group of people participating in a protest or demonstration, holding signs related to climate goals. This does not fit into any specific campaign-related category such as events, materials, or media work.
robert.habeck_17-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event;The image shows a large public gathering in a city square, likely for a political event or rally, indicated by the stage setup and crowd presence.
robert.habeck_17-09-2021_00:00_image15.jpeg;Campaign Event;Campaign Event;The image shows a crowd of people, some clapping, which suggests they are attending an event. The presence of barriers and the outdoor setting further indicate a public gathering, likely a campaign event.
robert.habeck/2021-09-21_07-27-48_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a group of people sitting and observing an event, suggesting a public gathering or rally. This aligns with the characteristics of a campaign event.
dielinke/2021-09-24_13-08-21_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a protest sign in front of a government building, indicating a public demonstration or rally. This aligns with the characteristics of a campaign event, where public gatherings are held to express political opinions.
olafscholz_19-09-2021_00:00_image4.jpeg;Campaign Material;Campaign Material;The image shows a T-shirt with a graphic and text related to a political figure, which is a form of campaign paraphernalia.
fdp_17-09-2021_00:00_video0.jpeg;Campaign Material;Campaign Material;The image features a banner with text and a call to action for a livestream, which is typical of campaign promotional content.
spdde_26-09-2021_00:00_video3.jpeg;Campaign Material;Campaign Material;The image shows a group of people standing with a campaign poster, indicating the start of a campaign booth or information stand. This is typical of campaign-related activities.
cdu/2021-09-13_12-04-40_UTC_4.jpg;Campaign Material;Campaign Material;The image shows a document related to the 2021 federal election, specifically a program booklet from a political party. This is an example of campaign-related material.
markus.soeder/2021-09-15_15-55-29_UTC_2.jpg;Review;Media Work;The image shows a person speaking into microphones, which suggests a formal setting likely related to media coverage or a press event.
robert.habeck_18-09-2021_00:00_image4.jpeg;Review;Campaign Event;The image shows a politician interacting with an audience, likely at a campaign event, as indicated by the setting and the presence of a microphone.
grey_gor_25-09-2021_00:00_image0.jpeg;Review;Review;The image shows a meal at a restaurant, which does not relate to any of the election campaign categories.
markus.soeder/2021-09-22_13-27-13_UTC.jpg;Review;Review;The image shows a formal setting with an individual receiving an award or certificate, which does not fit into the predefined categories related to the election campaign.
nicola_beer_23-09-2021_00:00_image2.jpeg;Review;Behind The Scenes;The image shows a casual gathering with people seated around a table, suggesting an informal meeting or discussion. This setting aligns with behind-the-scenes activities where candid moments are captured.
armin_laschet_18-09-2021_00:00_video2.jpeg;Behind The Scenes;Behind The Scenes;The image shows a politician arriving at a location, likely for a campaign-related activity, as indicated by the text mentioning 'Wahlkampftag' (campaign day). This suggests preparation or transition between events.
cdu_13-09-2021_00:00_image0.jpeg;Behind The Scenes;Campaign Event;The image shows a group of people gathered at an event, likely related to a political campaign, as indicated by the text mentioning support for a chancellor candidate. The setting and context suggest it is part of a campaign event.
fw_bayern/2021-09-22_16-22-51_UTC.jpg;Review;Social Media Moderation;The image shows a person in a casual setting, directly engaging with the camera, which suggests a personal and informal interaction typical of social media content.
robert.habeck/2021-09-26_09-17-25_UTC.jpg;Behind The Scenes;Review;The image shows a person casting a vote, which is a direct engagement with the electoral process but not a campaign event or material. It doesn't fit neatly into the predefined categories.
atesgurpinar/2021-09-19_08-42-11_UTC_5.jpg;Review;Campaign Event;The image shows a person speaking at a microphone, which suggests a formal setting typical of a campaign event.
saskiaesken_13-09-2021_00:00_video2.jpeg;Behind The Scenes;Behind The Scenes;The image shows a candid moment with people interacting informally, likely after a formal event, which fits the 'Behind The Scenes' category.
olafscholz_24-09-2021_00:00_image1.jpeg;Review;Individual Voter Contact;The image shows a politician in a public setting, likely interacting with people, as indicated by the text about moving from one city to another. This suggests a campaign-related activity.
abaerbock_13-09-2021_00:00_image6.jpeg;Behind The Scenes;Behind The Scenes;The image shows a casual, informal gathering with individuals engaging in conversation, suggesting a behind-the-scenes or candid moment rather than a formal event.
fdp/2021-09-26_10-30-41_UTC.jpg;Collage;Collage;The image contains a combination of text and graphic elements, which is characteristic of a collage. It is designed to convey a message in a visually engaging way, often used for promotional purposes.
fdp/2021-09-22_11-30-24_UTC.jpg;Collage;Collage;The image is a composed graphic with text and visual elements comparing internet speeds in different countries. It is not a photograph of a real-world event but a designed visual for informational purposes.
die_gruenen/2021-09-22_12-01-35_UTC_1.jpg;Collage;Collage;The image features a group of people taking a selfie with added text and graphic elements, such as a hashtag and a logo, which are typical of a collage format.
fdp/2021-09-17_11-01-04_UTC.jpg;Collage;Collage;The image features a composed design with text and a small photo, typical of promotional or explanatory materials.
markus.soeder/2021-09-12_20-09-57_UTC.jpg;Collage;Social Media Moderation;The image is a screenshot of a tweet, which is a form of social media content. It does not fit into the categories of media work, campaign event, or other more formal campaign activities. It represents a direct communication style typical of social media platforms.
afd.bund_26-09-2021_00:00_video1.jpeg;Collage;Collage;The image features a composed visual with text and a logo, typical of promotional or explanatory content.
robert.habeck_14-09-2021_00:00_image0.jpeg;Collage;Collage;The image is a composed graphic featuring text, logos, and images of two individuals, promoting an Instagram Live event. It combines multiple visual elements for promotional purposes.
christlichsozialeunion/2021-09-13_14-15-00_UTC_5.jpg;Collage;Collage;The image contains a combination of visual elements, including text and graphics, which are typical of a promotional or explanatory collage. It is not a photograph of a real-world event but rather a composed image used for conveying a message.
markus.soeder/2021-09-22_05-00-10_UTC.jpg;Collage;Collage;The image features a composed visual with text overlay discussing inflation, which is typical of promotional or explanatory content.
dielinke/2021-09-24_10-23-32_UTC.jpg;Collage;Collage;The image contains a combination of visual elements, including text, a pie chart, and a logo, which are used for promotional purposes.
afd.bund/2021-09-19_13-04-12_UTC.jpg;Collage;Collage;The image contains a combination of visual elements, including text, logos, and a photograph, which are composed to convey a specific message. This aligns with the characteristics of a collage.
fw_bayern_17-09-2021_00:00_video0.jpeg;Collage;Social Media Moderation;The image shows two individuals posing together with text overlay describing a visit by a political group. This suggests a casual, informal setting rather than a formal event or media work.
spdde_25-09-2021_00:00_video6.jpeg;Collage;Collage;The image features a composed design with text and multiple visual elements, including a prominent figure and a smaller cutout, typical of promotional or explanatory materials.
christlichsozialeunion_25-09-2021_00:00_video4.jpeg;Behind The Scenes;Behind The Scenes;The image shows a table setting with a name card, indicating preparation for a formal event. This suggests a behind-the-scenes look at the setup for a political gathering or dinner.
christlichsozialeunion/2021-09-21_06-00-11_UTC.jpg;Collage;Collage;The image features a composed design with text and a logo, typical of promotional or congratulatory materials.
markus.soeder/2021-09-15_05-00-53_UTC.jpg;Collage;Collage;The image features a composed layout with text and a photograph, typical of promotional or explanatory materials used in campaigns.
saskiaesken/2021-09-16_19-26-40_UTC.jpg;Collage;Collage;The image features a composed visual with text indicating a media appearance, suggesting a promotional or explanatory purpose.
christlichsozialeunion/2021-09-14_14-40-43_UTC_4.jpg;Collage;Collage;The image includes text and a logo, indicating a composed visual element used for promotional purposes.
die_gruenen/2021-09-26_17-47-12_UTC.jpg;Collage;Collage;The image features a composed photograph with text and a logo, which is typical of promotional or thank-you messages in a campaign context.
cdu/2021-09-20_12-12-13_UTC.jpg;Collage;Review;The image consists solely of text with a hashtag, which is often used in social media campaigns or promotional materials. However, it lacks the visual elements typical of a collage or campaign material.
atesgurpinar_15-09-2021_00:00_image0.jpeg;Collage;Collage;The image features a composed portrait with text overlays and hashtags, which is typical of promotional content. It includes a logo and social media handles, suggesting a focus on branding and messaging.
engin_eroglu__17-09-2021_00:00_image3.jpeg;Collage;Collage;The image contains a combination of text and a background image, which is typical of a collage. It presents information in a composed manner, likely for promotional or informational purposes.
spdde_22-09-2021_00:00_image0.jpeg;Collage;Collage;The image contains a combination of visual elements, including a photograph, text, and a logo, which are typical features of a collage used for promotional or explanatory purposes.
cdu_16-09-2021_00:00_video9.jpeg;Collage;Collage;The image contains a combination of text and graphic elements, which is characteristic of a collage. It is not a photograph of a real-world event but rather a composed visual.
dielinke_17-09-2021_00:00_image1.jpeg;Collage;Collage;The image contains a combination of text and a photograph, with promotional and instructional content, typical of a collage used for campaign purposes.
die_gruenen/2021-09-23_12-40-16_UTC_1.jpg;Collage;Collage;The image contains a combination of visual elements, including text, a logo, and a photograph, which are used for promotional purposes.
grey_gor_21-09-2021_00:00_video0.jpeg;Collage;Collage;The image contains a combination of visual elements, including a chart and text, which are used to convey information about election results. This composition is typical of a collage.
abaerbock_13-09-2021_00:00_image0.jpeg;Collage;Collage;The image is a promotional graphic for a TV debate featuring Annalena Baerbock, with text and design elements indicating the time and channels for the event. It combines visual and textual elements in a composed manner.
abaerbock/2021-09-19_20-21-33_UTC.jpg;Collage;Campaign Material;The image features a campaign poster with text and a logo, which is typical of campaign materials used for promotional purposes.
engin_eroglu_/2021-09-13_15-00-22_UTC_1.jpg;Collage;Collage;The image features a composed layout with text and logos, typical of promotional or informational content.
christlichsozialeunion/2021-09-22_05-30-15_UTC.jpg;Collage;Collage;The image features a composed layout with text, a logo, and a photograph, typical of promotional or explanatory materials.
markus.soeder_17-09-2021_00:00_image1.jpeg;Collage;Collage;The image features a composed layout with text overlay and a prominent figure, suggesting a promotional or informational purpose typical of a collage.
markus.soeder_17-09-2021_00:00_image0.jpeg;Collage;Collage;The image features a composed layout with text and a photograph, typical of promotional or explanatory content used in social media posts.
christlichsozialeunion_22-09-2021_00:00_image1.jpeg;Collage;Collage;The image is a composed graphic featuring multiple visual elements, including text, logos, and images of individuals. It is designed for promotional purposes, typical of a collage.
cdu_24-09-2021_00:00_video1.jpeg;Collage;Collage;The image is a highly composed visual with text and graphic elements, typical of promotional or explanatory materials.
die_gruenen_26-09-2021_00:00_video10.jpeg;Collage;Collage;The image features a composed visual element with text overlay, suggesting a promotional or explanatory purpose.
die_gruenen_25-09-2021_00:00_video1.jpeg;Collage;Collage;The image contains a combination of visual elements, including text and graphics, which are typical of a collage. It is not a straightforward photograph of a real-world event but is composed to convey a message about the climate strike.
cdu_16-09-2021_00:00_video23.jpeg;Collage;Collage;The image features a stylized design with text and a repeated background pattern, which is characteristic of a composed visual element used for promotional purposes.
die_gruenen_25-09-2021_00:00_image8.jpeg;Collage;Collage;The image contains text overlaid on a background, discussing educational issues. It appears to be a composed image with a focus on conveying information rather than capturing a real-world event.
afd.bund_26-09-2021_00:00_image4.jpeg;Collage;Individual Voter Contact;The image shows a politician taking a selfie with a supporter, indicating a direct, personal interaction with a voter.
susanne_hennig_wellsow_21-09-2021_00:00_video3.jpeg;Collage;Social Media Moderation;The image features a group of people at an event, with colorful graphics and text overlays typical of social media posts. It appears to be a casual, spontaneous capture shared on a platform.
nicola_beer_20-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a large gathering with a stage and audience, typical of a formal political event.
christlichsozialeunion_25-09-2021_00:00_video5.jpeg;Campaign Event;Behind The Scenes;The image shows a behind-the-scenes moment during a rehearsal for a political event, with a cameraman capturing the scene and a person on stage. This setting indicates preparation and informal activity not part of the public-facing campaign.
cdu/2021-09-25_07-57-40_UTC.jpg;Campaign Event;Campaign Event;The image shows a politician in a formal setting, likely addressing an audience or participating in an event, with a backdrop of virtual attendees. This suggests a campaign event with a digital component.
cdu_25-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event;The image shows a stage setup with people, likely indicating a formal gathering or event related to a political campaign.
