image;Majority Human;GPT-4o
christianlindner/2021-09-26_10-50-55_UTC_3.jpg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event
robert.habeck_18-09-2021_00:00_image1.jpeg;Campaign Event;Campaign Event
abaerbock_14-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event
afd.bund_25-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event
fw_bayern/2021-09-22_19-02-44_UTC_2.jpg;Campaign Event;Campaign Event
atesgurpinar/2021-09-19_08-42-11_UTC_4.jpg;Campaign Event;Campaign Event
armin_laschet_22-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event
christlichsozialeunion/2021-09-15_19-42-53_UTC.jpg;Campaign Event;Campaign Event
christianlindner/2021-09-21_19-30-47_UTC_5.jpg;Campaign Event;Campaign Event
cdu/2021-09-24_15-38-55_UTC.jpg;Campaign Event;Campaign Event
olafscholz/2021-09-26_18-22-24_UTC.jpg;Campaign Event;Campaign Event
olafscholz_23-09-2021_00:00_image3.jpeg;Campaign Event;Review
cdu/2021-09-23_16-10-56_UTC_5.jpg;Campaign Event;Campaign Event
christianlindner_22-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
christlichsozialeunion/2021-09-25_08-46-27_UTC.jpg;Campaign Event;Campaign Event
armin_laschet_25-09-2021_00:00_video10.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event
armin_laschet_17-09-2021_00:00_video9.jpeg;Campaign Event;Collage
abaerbock/2021-09-22_13-32-14_UTC_2.jpg;Campaign Event;Campaign Event
spdde_19-09-2021_00:00_video11.jpeg;Campaign Event;Campaign Event
cdu/2021-09-16_17-02-39_UTC_5.jpg;Campaign Event;Campaign Event
olafscholz_21-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
olafscholz_19-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event
cdu/2021-09-24_16-13-02_UTC.jpg;Campaign Event;Campaign Event
fdp_20-09-2021_00:00_image15.jpeg;Campaign Event;Media Work
christianlindner_17-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event
christianlindner_20-09-2021_00:00_image4.jpeg;Campaign Event;Review
robert.habeck_18-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event
christianlindner/2021-09-26_17-24-53_UTC_2.jpg;Campaign Event;Campaign Event
cdu/2021-09-20_16-32-49_UTC_3.jpg;Campaign Event;Review
dielinke_25-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event
christianlindner/2021-09-17_19-33-56_UTC_9.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-23_09-08-52_UTC_3.jpg;Campaign Event;Campaign Event
olafscholz_22-09-2021_00:00_image6.jpeg;Campaign Event;Review
christianlindner/2021-09-17_13-01-40_UTC.jpg;Campaign Event;Review
armin_laschet/2021-09-20_14-07-14_UTC_2.jpg;Campaign Event;Campaign Event
fw_bayern_20-09-2021_00:00_video4.jpeg;Campaign Event;Campaign Event
abaerbock/2021-09-15_13-20-23_UTC_7.jpg;Campaign Event;Campaign Event
christlichsozialeunion_20-09-2021_00:00_video5.jpeg;Media Work;Media Work
olafscholz_18-09-2021_00:00_video3.jpeg;Media Work;Media Work
olafscholz_18-09-2021_00:00_video8.jpeg;Media Work;Media Work
christlichsozialeunion_24-09-2021_00:00_video9.jpeg;Media Work;Media Work
abaerbock_22-09-2021_00:00_image13.jpeg;Media Work;Media Work
christlichsozialeunion_17-09-2021_00:00_video3.jpeg;Media Work;Media Work
christlichsozialeunion_20-09-2021_00:00_video6.jpeg;Media Work;Media Work
christlichsozialeunion_17-09-2021_00:00_video5.jpeg;Media Work;Social Media Moderation
spdde_25-09-2021_00:00_video10.jpeg;Social Media Moderation;Social Media Moderation
afd.bund_23-09-2021_00:00_video16.jpeg;Social Media Moderation;Social Media Moderation
afd.bund_23-09-2021_00:00_video15.jpeg;Social Media Moderation;Campaign Event
cdu_20-09-2021_00:00_video12.jpeg;Social Media Moderation;Media Work
cdu_20-09-2021_00:00_video25.jpeg;Social Media Moderation;Social Media Moderation
spdde_25-09-2021_00:00_video0.jpeg;Social Media Moderation;Social Media Moderation
christlichsozialeunion_16-09-2021_00:00_video7.jpeg;Social Media Moderation;Social Media Moderation
cdu_13-09-2021_00:00_video16.jpeg;Social Media Moderation;Social Media Moderation
die_gruenen_25-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
nicola_beer_20-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event
robert.habeck/2021-09-24_20-23-24_UTC_3.jpg;Campaign Event;Campaign Event
dielinke/2021-09-24_13-08-21_UTC_2.jpg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_image15.jpeg;Campaign Event;Campaign Event
robert.habeck/2021-09-21_07-27-48_UTC_5.jpg;Campaign Event;Campaign Event
dielinke/2021-09-24_13-08-21_UTC_5.jpg;Campaign Event;Campaign Event
olafscholz_19-09-2021_00:00_image4.jpeg;Campaign Material;Collage
fdp_17-09-2021_00:00_video0.jpeg;Campaign Material;Collage
spdde_26-09-2021_00:00_video3.jpeg;Campaign Material;Campaign Material
cdu/2021-09-13_12-04-40_UTC_4.jpg;Campaign Material;Campaign Material
markus.soeder/2021-09-15_15-55-29_UTC_2.jpg;Review;Media Work
robert.habeck_18-09-2021_00:00_image4.jpeg;Review;Individual Voter Contact
grey_gor_25-09-2021_00:00_image0.jpeg;Review;Review
markus.soeder/2021-09-22_13-27-13_UTC.jpg;Review;Review
nicola_beer_23-09-2021_00:00_image2.jpeg;Review;Social Media Moderation
armin_laschet_18-09-2021_00:00_video2.jpeg;Behind The Scenes;Review
cdu_13-09-2021_00:00_image0.jpeg;Behind The Scenes;Review
fw_bayern/2021-09-22_16-22-51_UTC.jpg;Review;Social Media Moderation
robert.habeck/2021-09-26_09-17-25_UTC.jpg;Behind The Scenes;Review
atesgurpinar/2021-09-19_08-42-11_UTC_5.jpg;Review;Review
saskiaesken_13-09-2021_00:00_video2.jpeg;Behind The Scenes;Individual Voter Contact
olafscholz_24-09-2021_00:00_image1.jpeg;Review;Review
abaerbock_13-09-2021_00:00_image6.jpeg;Behind The Scenes;Behind The Scenes
fdp/2021-09-26_10-30-41_UTC.jpg;Collage;Collage
fdp/2021-09-22_11-30-24_UTC.jpg;Collage;Collage
die_gruenen/2021-09-22_12-01-35_UTC_1.jpg;Collage;Collage
fdp/2021-09-17_11-01-04_UTC.jpg;Collage;Collage
markus.soeder/2021-09-12_20-09-57_UTC.jpg;Collage;Collage
afd.bund_26-09-2021_00:00_video1.jpeg;Collage;Media Work
robert.habeck_14-09-2021_00:00_image0.jpeg;Collage;Collage
christlichsozialeunion/2021-09-13_14-15-00_UTC_5.jpg;Collage;Collage
markus.soeder/2021-09-22_05-00-10_UTC.jpg;Collage;Collage
dielinke/2021-09-24_10-23-32_UTC.jpg;Collage;Collage
afd.bund/2021-09-19_13-04-12_UTC.jpg;Collage;Collage
fw_bayern_17-09-2021_00:00_video0.jpeg;Collage;Review
spdde_25-09-2021_00:00_video6.jpeg;Collage;Collage
christlichsozialeunion_25-09-2021_00:00_video4.jpeg;Behind The Scenes;Behind The Scenes
christlichsozialeunion/2021-09-21_06-00-11_UTC.jpg;Collage;Collage
markus.soeder/2021-09-15_05-00-53_UTC.jpg;Collage;Collage
saskiaesken/2021-09-16_19-26-40_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-14_14-40-43_UTC_4.jpg;Collage;Collage
die_gruenen/2021-09-26_17-47-12_UTC.jpg;Collage;Collage
cdu/2021-09-20_12-12-13_UTC.jpg;Collage;Collage
atesgurpinar_15-09-2021_00:00_image0.jpeg;Collage;Collage
engin_eroglu__17-09-2021_00:00_image3.jpeg;Collage;Collage
spdde_22-09-2021_00:00_image0.jpeg;Collage;Collage
cdu_16-09-2021_00:00_video9.jpeg;Collage;Collage
dielinke_17-09-2021_00:00_image1.jpeg;Collage;Collage
die_gruenen/2021-09-23_12-40-16_UTC_1.jpg;Collage;Collage
grey_gor_21-09-2021_00:00_video0.jpeg;Collage;Collage
abaerbock_13-09-2021_00:00_image0.jpeg;Collage;Collage
abaerbock/2021-09-19_20-21-33_UTC.jpg;Collage;Collage
engin_eroglu_/2021-09-13_15-00-22_UTC_1.jpg;Collage;Collage
christlichsozialeunion/2021-09-22_05-30-15_UTC.jpg;Collage;Collage
markus.soeder_17-09-2021_00:00_image1.jpeg;Collage;Collage
markus.soeder_17-09-2021_00:00_image0.jpeg;Collage;Media Work
christlichsozialeunion_22-09-2021_00:00_image1.jpeg;Collage;Collage
cdu_24-09-2021_00:00_video1.jpeg;Collage;Collage
die_gruenen_26-09-2021_00:00_video10.jpeg;Collage;Review
die_gruenen_25-09-2021_00:00_video1.jpeg;Collage;Collage
cdu_16-09-2021_00:00_video23.jpeg;Collage;Collage
die_gruenen_25-09-2021_00:00_image8.jpeg;Collage;Collage
afd.bund_26-09-2021_00:00_image4.jpeg;Collage;Individual Voter Contact
susanne_hennig_wellsow_21-09-2021_00:00_video3.jpeg;Collage;Collage
nicola_beer_20-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event
christlichsozialeunion_25-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
cdu/2021-09-25_07-57-40_UTC.jpg;Campaign Event;Campaign Event
cdu_25-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event
markus.soeder/2021-09-17_11-05-37_UTC_2.jpg;Individual Voter Contact;Review
abaerbock/2021-09-23_19-16-58_UTC_1.jpg;Individual Voter Contact;Campaign Event
cdu/2021-09-18_17-06-46_UTC_10.jpg;Individual Voter Contact;Individual Voter Contact
olafscholz_20-09-2021_00:00_video5.jpeg;Individual Voter Contact;Behind The Scenes
saskiaesken_17-09-2021_00:00_image2.jpeg;Individual Voter Contact;Social Media Moderation
robert.habeck_13-09-2021_00:00_image10.jpeg;Individual Voter Contact;Individual Voter Contact
armin_laschet_17-09-2021_00:00_image11.jpeg;Individual Voter Contact;Review
christianlindner_26-09-2021_00:00_image4.jpeg;Individual Voter Contact;Review
cdu_26-09-2021_00:00_video4.jpeg;Individual Voter Contact;Campaign Event
abaerbock_26-09-2021_00:00_image1.jpeg;Individual Voter Contact;Individual Voter Contact
spdde_18-09-2021_00:00_image0.jpeg;Individual Voter Contact;Social Media Moderation
armin_laschet/2021-09-17_12-59-07_UTC_3.jpg;Individual Voter Contact;Campaign Material
cdu/2021-09-18_13-19-15_UTC_10.jpg;Individual Voter Contact;Individual Voter Contact
olafscholz_22-09-2021_00:00_video10.jpeg;Individual Voter Contact;Individual Voter Contact
olafscholz/2021-09-14_20-32-47_UTC.jpg;Individual Voter Contact;Review
saskiaesken/2021-09-25_15-04-13_UTC_3.jpg;Individual Voter Contact;Social Media Moderation
olafscholz_20-09-2021_00:00_video6.jpeg;Individual Voter Contact;Individual Voter Contact
abaerbock/2021-09-20_18-22-45_UTC_4.jpg;Campaign Event;Campaign Event
christianlindner_17-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_video7.jpeg;Campaign Event;Campaign Event
cdu_23-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
die_gruenen_25-09-2021_00:00_video26.jpeg;Campaign Event;Campaign Event
robert.habeck_15-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
armin_laschet_22-09-2021_00:00_image5.jpeg;Campaign Event;Campaign Event
robert.habeck/2021-09-21_07-27-48_UTC_1.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-12_14-21-03_UTC.jpg;Campaign Event;Campaign Event
christlichsozialeunion/2021-09-17_15-29-38_UTC_6.jpg;Campaign Event;Campaign Event
nicola_beer/2021-09-19_09-58-49_UTC_1.jpg;Campaign Event;Campaign Event
cdu/2021-09-21_20-02-32_UTC_4.jpg;Campaign Event;Campaign Event
nicola_beer_20-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
olafscholz_19-09-2021_00:00_image9.jpeg;Campaign Event;Campaign Event
susanne_hennig_wellsow_19-09-2021_00:00_image1.jpeg;Campaign Event;Collage
robert.habeck_21-09-2021_00:00_image12.jpeg;Campaign Event;Review
die_gruenen_25-09-2021_00:00_video24.jpeg;Campaign Event;Campaign Event
robert.habeck_23-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
armin_laschet_21-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
afd.bund/2021-09-24_19-43-17_UTC_10.jpg;Campaign Event;Campaign Event
fdp_20-09-2021_00:00_image11.jpeg;Campaign Event;Collage
christianlindner_23-09-2021_00:00_image1.jpeg;Campaign Event;Campaign Event
afd.bund_19-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
abaerbock_21-09-2021_00:00_image13.jpeg;Campaign Event;Campaign Event
armin_laschet_17-09-2021_00:00_video4.jpeg;Campaign Event;Campaign Event
robert.habeck/2021-09-16_20-45-40_UTC_3.jpg;Campaign Event;Campaign Event
nicola_beer/2021-09-21_18-55-06_UTC_1.jpg;Campaign Event;Campaign Event
olafscholz/2021-09-24_11-51-14_UTC_2.jpg;Campaign Event;Campaign Event
spdde/2021-09-24_16-19-58_UTC.jpg;Campaign Event;Campaign Event
robert.habeck_23-09-2021_00:00_image9.jpeg;Campaign Event;Campaign Event
christlichsozialeunion/2021-09-17_18-25-15_UTC_6.jpg;Campaign Event;Campaign Event
armin_laschet_22-09-2021_00:00_video10.jpeg;Campaign Event;Campaign Event
robert.habeck_25-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event
cdu_19-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
markus.soeder/2021-09-24_06-15-09_UTC.jpg;Media Work;Media Work
cdu_25-09-2021_00:00_image0.jpeg;Media Work;Review
die_gruenen/2021-09-12_20-32-06_UTC.jpg;Media Work;Media Work
dielinke_25-09-2021_00:00_video6.jpeg;Social Media Moderation;Social Media Moderation
cdu_13-09-2021_00:00_video7.jpeg;Social Media Moderation;Social Media Moderation
spdde_18-09-2021_00:00_video1.jpeg;Social Media Moderation;Social Media Moderation
spdde_13-09-2021_00:00_video7.jpeg;Social Media Moderation;Social Media Moderation
spdde_19-09-2021_00:00_video3.jpeg;Social Media Moderation;Campaign Event
die_gruenen_25-09-2021_00:00_video12.jpeg;Social Media Moderation;Social Media Moderation
armin_laschet/2021-09-12_20-45-47_UTC.jpg;Media Work;Media Work
christlichsozialeunion_21-09-2021_00:00_video1.jpeg;Media Work;Media Work
olafscholz_13-09-2021_00:00_video0.jpeg;Campaign Event;Media Work
robert.habeck/2021-09-15_19-03-35_UTC_4.jpg;Campaign Event;Campaign Event
robert.habeck_22-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
robert.habeck_18-09-2021_00:00_image12.jpeg;Campaign Event;Campaign Event
afd.bund/2021-09-24_19-43-17_UTC_2.jpg;Campaign Event;Campaign Event
armin_laschet/2021-09-25_12-43-21_UTC_4.jpg;Campaign Event;Campaign Event
robert.habeck_18-09-2021_00:00_image15.jpeg;Campaign Event;Review
atesgurpinar/2021-09-19_08-42-11_UTC_1.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-16_10-06-22_UTC_3.jpg;Campaign Event;Campaign Event
fw_bayern_22-09-2021_00:00_video0.jpeg;Social Media Moderation;Social Media Moderation
fw_bayern_18-09-2021_00:00_video0.jpeg;Social Media Moderation;Collage
spdde/2021-09-24_17-55-02_UTC_5.jpg;Campaign Material;Review
spdde/2021-09-24_17-55-02_UTC_2.jpg;Campaign Material;Campaign Material
abaerbock/2021-09-14_10-00-20_UTC_4.jpg;Campaign Event;Campaign Event
armin_laschet_17-09-2021_00:00_video11.jpeg;Campaign Event;Campaign Event
grey_gor_14-09-2021_00:00_video0.jpeg;Review;Media Work
christlichsozialeunion_24-09-2021_00:00_video5.jpeg;Behind The Scenes;Collage
olafscholz/2021-09-18_11-33-33_UTC.jpg;Review;Review
christlichsozialeunion/2021-09-15_13-08-15_UTC.jpg;Review;Review
susanne_hennig_wellsow_24-09-2021_00:00_video2.jpeg;Review;Campaign Event
engin_eroglu__17-09-2021_00:00_video0.jpeg;Review;Collage
abaerbock_23-09-2021_00:00_image1.jpeg;Review;Review
markus.soeder_18-09-2021_00:00_video2.jpeg;Review;Campaign Event
abaerbock_26-09-2021_00:00_video3.jpeg;Review;Collage
robert.habeck_26-09-2021_00:00_video2.jpeg;Review;Review
nicola_beer_24-09-2021_00:00_image3.jpeg;Campaign Material;Campaign Event
nicola_beer_24-09-2021_00:00_video9.jpeg;Campaign Material;Campaign Material
markus.soeder/2021-09-17_11-45-11_UTC_2.jpg;Review;Behind The Scenes
spdde/2021-09-14_15-07-56_UTC.jpg;Review;Review
saskiaesken_17-09-2021_00:00_image3.jpeg;Review;Social Media Moderation
robert.habeck_23-09-2021_00:00_image7.jpeg;Behind The Scenes;Social Media Moderation
olafscholz_19-09-2021_00:00_image2.jpeg;Review;Social Media Moderation
armin_laschet_21-09-2021_00:00_video5.jpeg;Media Work;Media Work
cdu_21-09-2021_00:00_video2.jpeg;Media Work;Media Work
armin_laschet_13-09-2021_00:00_video5.jpeg;Media Work;Media Work
cdu/2021-09-12_19-01-42_UTC.jpg;Media Work;Collage
armin_laschet_23-09-2021_00:00_image1.jpeg;Media Work;Media Work
christlichsozialeunion_13-09-2021_00:00_video2.jpeg;Media Work;Collage
armin_laschet_20-09-2021_00:00_video2.jpeg;Media Work;Media Work
markus.soeder_24-09-2021_00:00_video0.jpeg;Media Work;Media Work
spdde_21-09-2021_00:00_video0.jpeg;Media Work;Media Work
armin_laschet_20-09-2021_00:00_video3.jpeg;Media Work;Media Work
die_gruenen_20-09-2021_00:00_image6.jpeg;Media Work;Media Work
armin_laschet_21-09-2021_00:00_video0.jpeg;Media Work;Media Work
cdu_23-09-2021_00:00_video2.jpeg;Behind The Scenes;Behind The Scenes
spdde/2021-09-13_10-51-14_UTC_1.jpg;Collage;Collage
spdde/2021-09-20_12-42-02_UTC_2.jpg;Collage;Collage
robert.habeck_23-09-2021_00:00_video3.jpeg;Collage;Social Media Moderation
spdde_26-09-2021_00:00_video0.jpeg;Collage;Review
atesgurpinar/2021-09-24_11-50-25_UTC.jpg;Collage;Media Work
fw_bayern/2021-09-25_05-10-14_UTC.jpg;Collage;Collage
olafscholz/2021-09-24_19-32-36_UTC.jpg;Collage;Collage
cdu/2021-09-12_19-45-25_UTC.jpg;Collage;Collage
spdde/2021-09-17_09-18-30_UTC.jpg;Collage;Collage
cdu/2021-09-13_15-31-45_UTC.jpg;Collage;Collage
atesgurpinar/2021-09-21_14-45-46_UTC_4.jpg;Collage;Collage
engin_eroglu_/2021-09-13_15-00-22_UTC_2.jpg;Collage;Collage
fdp/2021-09-23_13-15-04_UTC.jpg;Collage;Collage
fdp/2021-09-24_10-01-04_UTC.jpg;Collage;Collage
cdu/2021-09-19_15-47-44_UTC.jpg;Collage;Collage
cdu/2021-09-23_08-30-03_UTC.jpg;Collage;Collage
die_gruenen/2021-09-16_13-34-10_UTC_1.jpg;Collage;Collage
armin_laschet/2021-09-24_18-27-21_UTC.jpg;Collage;Review
christlichsozialeunion/2021-09-20_13-23-24_UTC_1.jpg;Collage;Collage
fdp/2021-09-24_08-01-16_UTC.jpg;Collage;Collage
cdu/2021-09-13_14-31-41_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-22_14-02-34_UTC.jpg;Collage;Collage
fdp/2021-09-24_16-01-51_UTC.jpg;Collage;Collage
die_gruenen/2021-09-15_12-42-23_UTC_2.jpg;Collage;Collage
dielinke/2021-09-21_11-23-59_UTC.jpg;Collage;Collage
spdde/2021-09-12_19-52-28_UTC.jpg;Collage;Collage
fdp/2021-09-25_07-01-29_UTC_2.jpg;Collage;Collage
olafscholz/2021-09-25_16-17-50_UTC.jpg;Collage;Collage
cdu/2021-09-26_10-45-51_UTC.jpg;Collage;Collage
cdu/2021-09-26_06-17-33_UTC.jpg;Collage;Collage
cdu/2021-09-12_19-31-39_UTC.jpg;Collage;Collage
fw_bayern_16-09-2021_00:00_image1.jpeg;Collage;Collage
die_gruenen_23-09-2021_00:00_video2.jpeg;Collage;Collage
engin_eroglu__17-09-2021_00:00_image4.jpeg;Collage;Review
engin_eroglu__25-09-2021_00:00_video1.jpeg;Collage;Collage
cdu_23-09-2021_00:00_video8.jpeg;Collage;Collage
abaerbock_16-09-2021_00:00_image5.jpeg;Collage;Collage
abaerbock_13-09-2021_00:00_image3.jpeg;Collage;Media Work
engin_eroglu__18-09-2021_00:00_video0.jpeg;Collage;Collage
christlichsozialeunion_23-09-2021_00:00_video11.jpeg;Collage;Collage
christianlindner_24-09-2021_00:00_image2.jpeg;Collage;Media Work
christlichsozialeunion_26-09-2021_00:00_image2.jpeg;Collage;Collage
engin_eroglu__24-09-2021_00:00_video1.jpeg;Collage;Collage
fw_bayern_18-09-2021_00:00_image2.jpeg;Collage;Collage
spdde_20-09-2021_00:00_image4.jpeg;Collage;Collage
nicola_beer_24-09-2021_00:00_video10.jpeg;Collage;Campaign Event
afd.bund_22-09-2021_00:00_video1.jpeg;Collage;Review
fw_bayern_18-09-2021_00:00_video2.jpeg;Collage;Collage
armin_laschet_16-09-2021_00:00_image0.jpeg;Collage;Collage
markus.soeder_16-09-2021_00:00_video2.jpeg;Collage;Collage
die_gruenen_25-09-2021_00:00_video40.jpeg;Collage;Collage
die_gruenen_17-09-2021_00:00_image6.jpeg;Collage;Collage
fw_bayern_25-09-2021_00:00_image3.jpeg;Collage;Collage
christlichsozialeunion_26-09-2021_00:00_image3.jpeg;Collage;Collage
armin_laschet_22-09-2021_00:00_image1.jpeg;Collage;Collage
dielinke_25-09-2021_00:00_video8.jpeg;Collage;Collage
fw_bayern_24-09-2021_00:00_video6.jpeg;Collage;Collage
afd.bund_20-09-2021_00:00_image0.jpeg;Collage;Social Media Moderation
christlichsozialeunion_24-09-2021_00:00_video10.jpeg;Collage;Collage
fw_bayern_18-09-2021_00:00_video1.jpeg;Collage;Collage
die_gruenen/2021-09-13_12-11-28_UTC.jpg;Collage;Campaign Material
afd.bund_21-09-2021_00:00_video0.jpeg;Collage;Collage
grey_gor_18-09-2021_00:00_video0.jpeg;Collage;Media Work
olafscholz_16-09-2021_00:00_image0.jpeg;Collage;Collage
armin_laschet/2021-09-18_19-12-07_UTC_3.jpg;Individual Voter Contact;Individual Voter Contact
armin_laschet/2021-09-23_13-50-48_UTC_4.jpg;Individual Voter Contact;Individual Voter Contact
christianlindner/2021-09-17_19-33-56_UTC_7.jpg;Individual Voter Contact;Individual Voter Contact
armin_laschet/2021-09-13_17-02-10_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact
cdu_22-09-2021_00:00_image1.jpeg;Individual Voter Contact;Individual Voter Contact
spdde_20-09-2021_00:00_video7.jpeg;Individual Voter Contact;Individual Voter Contact
abaerbock_24-09-2021_00:00_video0.jpeg;Individual Voter Contact;Social Media Moderation
olafscholz_26-09-2021_00:00_video0.jpeg;Individual Voter Contact;Social Media Moderation
nicola_beer_24-09-2021_00:00_video3.jpeg;Individual Voter Contact;Campaign Material
markus.soeder/2021-09-18_10-05-35_UTC_3.jpg;Individual Voter Contact;Campaign Material
christianlindner/2021-09-21_14-50-34_UTC_3.jpg;Individual Voter Contact;Individual Voter Contact
spdde/2021-09-24_17-55-02_UTC_7.jpg;Individual Voter Contact;Individual Voter Contact
cdu/2021-09-25_13-50-24_UTC_4.jpg;Individual Voter Contact;Individual Voter Contact
abaerbock/2021-09-15_13-20-23_UTC_1.jpg;Individual Voter Contact;Individual Voter Contact
cdu/2021-09-21_18-48-32_UTC_5.jpg;Individual Voter Contact;Individual Voter Contact
christlichsozialeunion_18-09-2021_00:00_video17.jpeg;Individual Voter Contact;Campaign Event
fw_bayern_25-09-2021_00:00_image2.jpeg;Individual Voter Contact;Review
abaerbock/2021-09-24_17-49-01_UTC_5.jpg;Individual Voter Contact;Individual Voter Contact
