image;Majority Human;GPT-4o;GPT-4o Explanation
/content/posts/armin_laschet/2021-09-21_05-10-21_UTC_4.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people in an informal setting, likely engaging in conversation or greeting them.
/content/images/upload_s3/abaerbock_21-09-2021_00:00_video1.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people off-stage, engaging directly with individuals in a casual setting.
/content/images/upload_s3/olafscholz_26-09-2021_00:00_image5.jpeg;Individual Voter Contact;Behind The Scenes;The image shows a politician posing with musicians, likely after an event, which suggests a more informal, behind-the-scenes moment rather than a formal campaign event or voter interaction.
/content/images/upload_s3/armin_laschet_19-09-2021_00:00_image6.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with emergency personnel, which suggests a direct engagement with individuals in a non-stage setting.
/content/images/upload_s3/christianlindner_23-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking to a large crowd in front of a building, indicating a public gathering. The presence of a stage and audience suggests a formal event.
/content/posts/cdu/2021-09-25_13-50-24_UTC_1.jpg;Campaign Event;Campaign Event;The image shows a stage with politicians, indicating a formal political event.
/content/posts/christianlindner/2021-09-26_10-50-55_UTC_3.jpg;Campaign Event;Campaign Event;The image shows a politician speaking into a microphone in front of a crowd, indicating a public speaking event.
/content/images/upload_s3/robert.habeck_17-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a stage with performers, indicating a public event setting.
/content/images/upload_s3/robert.habeck_18-09-2021_00:00_image1.jpeg;Campaign Event;Campaign Event;The image shows a crowd gathered around a stage where a political event is taking place, indicating a campaign event.
/content/images/upload_s3/abaerbock_14-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking on a stage in a public setting, which is indicative of a political event.
/content/images/upload_s3/afd.bund_25-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium on a stage, which is indicative of a political event context.
/content/posts/fw_bayern/2021-09-22_19-02-44_UTC_2.jpg;Campaign Event;Media Work;The image shows a person speaking at a podium with a banner in the background, indicating a formal setting. There are cameras and media personnel present, suggesting it is a media-covered event.
/content/posts/atesgurpinar/2021-09-19_08-42-11_UTC_4.jpg;Campaign Event;Campaign Event;The image shows a person speaking on a stage with microphones and a backdrop featuring political slogans, indicating a formal political event.
/content/images/upload_s3/armin_laschet_22-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a stage setup with a crowd gathered, indicating a political event context.
/content/posts/christlichsozialeunion/2021-09-15_19-42-53_UTC.jpg;Campaign Event;Campaign Event;The image shows a stage with people standing on it, likely during a political event, which fits the context of a campaign event.
/content/posts/christianlindner/2021-09-21_19-30-47_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a politician speaking on a stage to a crowd, indicating a political event.
/content/posts/cdu/2021-09-24_15-38-55_UTC.jpg;Campaign Event;Campaign Event;The image shows a politician giving a speech at a podium with a backdrop that includes campaign messaging, indicating a formal political event.
/content/posts/olafscholz/2021-09-26_18-22-24_UTC.jpg;Campaign Event;Campaign Event;The image shows a stage with a politician addressing a crowd, indicating a political event context.
/content/images/upload_s3/olafscholz_23-09-2021_00:00_image3.jpeg;Campaign Event;Individual Voter Contact;The image shows a politician speaking into a microphone, likely in a public setting, which suggests an interaction with people. However, it does not clearly depict a stage or designated speaking area typical of a campaign event.
/content/posts/cdu/2021-09-23_16-10-56_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a group of people on a stage with a podium and a backdrop featuring a political party logo, indicating a formal political event.
/content/images/upload_s3/christianlindner_22-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event;The image shows a stage with a politician giving a speech in front of a crowd, which is indicative of a political event.
/content/posts/christlichsozialeunion/2021-09-25_08-46-27_UTC.jpg;Campaign Event;Campaign Event;The image shows a stage with a politician giving a speech in a political event context, with an audience seated at tables, indicating a formal gathering.
/content/images/upload_s3/armin_laschet_25-09-2021_00:00_video10.jpeg;Campaign Event;Campaign Event;The image shows a stage with people speaking at a political event, which fits the criteria for a campaign event.
/content/images/upload_s3/robert.habeck_17-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event;The image shows a person speaking to a crowd, indicating a public gathering or event.
/content/images/upload_s3/armin_laschet_17-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event;The image shows a stage with people gathered, indicating a political event.
/content/posts/abaerbock/2021-09-22_13-32-14_UTC_2.jpg;Campaign Event;Campaign Event;The image shows a large crowd gathered in front of a stage with a speaker, indicating a political event.
/content/images/upload_s3/spdde_19-09-2021_00:00_video11.jpeg;Campaign Event;Campaign Event;The image shows a group of people on a stage, likely at a political event, with a backdrop and lighting setup typical of campaign events.
/content/posts/cdu/2021-09-16_17-02-39_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium to a crowd, indicating a formal setting typical of a political event.
/content/images/upload_s3/olafscholz_21-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event;The image shows a politician on a stage with a microphone, indicating a formal setting for a speech or public address, which is typical of a campaign event.
/content/images/upload_s3/olafscholz_19-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking on a stage at a political event, which fits the criteria for a campaign event.
/content/posts/cdu/2021-09-24_16-13-02_UTC.jpg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium with a backdrop featuring the CDU/CSU logo, indicating a formal political event setting.
/content/images/upload_s3/fdp_20-09-2021_00:00_image15.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium, which suggests a formal setting typical of a campaign event. The presence of a microphone and the context of delivering a speech align with the characteristics of a campaign event.
/content/images/upload_s3/christianlindner_17-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event;The image shows a stage with politicians speaking at podiums, indicating a formal political event.
/content/images/upload_s3/christianlindner_20-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking, likely at a campaign event, with a quote overlaid. The presence of a microphone and the context suggest a formal speech setting.
/content/images/upload_s3/robert.habeck_18-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking on a stage with an audience present, indicating a political event context.
/content/posts/christianlindner/2021-09-26_17-24-53_UTC_2.jpg;Campaign Event;Campaign Event;The image shows a group of politicians on a stage with a podium, indicating a formal event where a speech or announcement is being made.
/content/posts/cdu/2021-09-20_16-32-49_UTC_3.jpg;Campaign Event;Campaign Event;The image shows a politician speaking into a microphone with a logo, indicating a formal setting likely related to a political event.
/content/images/upload_s3/dielinke_25-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event;The image shows a politician giving a speech at a designated speaking area during a political event.
/content/posts/christianlindner/2021-09-17_19-33-56_UTC_9.jpg;Campaign Event;Campaign Event;The image shows a stage with a speaker addressing a crowd, indicating a political event.
/content/posts/robert.habeck/2021-09-23_09-08-52_UTC_3.jpg;Campaign Event;Campaign Event;The image shows a crowd gathered in front of a stage with a speaker, indicating a political event.
/content/images/upload_s3/olafscholz_22-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event;The image shows a politician on a stage, likely at a political event, with text indicating a return from a campaign activity.
/content/posts/christianlindner/2021-09-17_13-01-40_UTC.jpg;Campaign Event;Campaign Event;The image shows a politician speaking into a microphone, likely at a political event, which suggests a stage or designated speaking area.
/content/posts/armin_laschet/2021-09-20_14-07-14_UTC_2.jpg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium with a backdrop that includes a slogan, indicating a formal setting for a political speech.
/content/images/upload_s3/fw_bayern_20-09-2021_00:00_video4.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium with campaign materials visible, indicating a formal political event setting.
/content/posts/abaerbock/2021-09-15_13-20-23_UTC_7.jpg;Campaign Event;Campaign Event;The image shows a large crowd gathered in front of a stage set up near a cathedral, indicating a public event. The presence of a stage and audience suggests a political rally or campaign event.
/content/images/upload_s3/christlichsozialeunion_20-09-2021_00:00_video5.jpeg;Media Work;Media Work;The image shows a setting with a green screen and people at a desk, indicating a studio or media environment. This aligns with a media interview or press conference setting.
/content/images/upload_s3/olafscholz_18-09-2021_00:00_video3.jpeg;Media Work;Media Work;The image shows a politician being interviewed by a media outlet, which is indicative of a media work setting.
/content/images/upload_s3/olafscholz_18-09-2021_00:00_video8.jpeg;Media Work;Campaign Event;The image shows a stage with people seated in a discussion format, indicating a political event context.
/content/images/upload_s3/christlichsozialeunion_24-09-2021_00:00_video9.jpeg;Media Work;Media Work;The image shows a TV studio setting with a panel discussion, which aligns with media-related activities.
/content/images/upload_s3/abaerbock_22-09-2021_00:00_image13.jpeg;Media Work;Media Work;The image shows a person speaking in a setting that resembles a formal discussion or panel, likely in a media or conference context.
/content/images/upload_s3/christlichsozialeunion_17-09-2021_00:00_video3.jpeg;Media Work;Media Work;The image shows a person being interviewed with professional broadcasting equipment visible, indicating a media-related activity.
/content/images/upload_s3/christlichsozialeunion_20-09-2021_00:00_video6.jpeg;Media Work;Media Work;The image shows a setting with a green screen and people standing at a desk, which suggests a studio or media environment.
/content/images/upload_s3/christlichsozialeunion_17-09-2021_00:00_video5.jpeg;Media Work;Social Media Moderation;The image shows a person speaking directly to the camera in a casual setting, likely for social media purposes, without professional broadcasting equipment.
/content/images/upload_s3/spdde_25-09-2021_00:00_video10.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person engaging directly with the camera in a casual, improvised manner, likely in a non-studio setting, which aligns with the characteristics of social media moderation.
/content/images/upload_s3/afd.bund_23-09-2021_00:00_video16.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person engaging directly with the camera in a casual, improvised manner, in a non-studio setting, without professional broadcasting equipment.
/content/images/upload_s3/afd.bund_23-09-2021_00:00_video15.jpeg;Social Media Moderation;Campaign Event;The image shows a person speaking in an outdoor setting with a crowd and event equipment visible, indicating a political event context.
/content/images/upload_s3/cdu_20-09-2021_00:00_video12.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person engaging directly with the camera in a casual manner, likely in a non-studio setting, without professional broadcasting equipment.
/content/images/upload_s3/cdu_20-09-2021_00:00_video25.jpeg;Social Media Moderation;Social Media Moderation;The image shows people engaging directly with the camera in a casual, improvised manner, in a non-studio setting, without professional broadcasting equipment, and with a less polished appearance.
/content/images/upload_s3/spdde_25-09-2021_00:00_video0.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person engaging directly with the camera in a casual manner, likely in a non-studio setting, which aligns with social media interaction.
/content/images/upload_s3/christlichsozialeunion_16-09-2021_00:00_video7.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person engaging directly with the camera in a casual manner, likely in a non-studio setting, which aligns with social media content.
/content/images/upload_s3/cdu_13-09-2021_00:00_video16.jpeg;Social Media Moderation;Social Media Moderation;The image shows a person speaking in front of a sign that says 'Das Triell,' which suggests a media-related event or debate setting. The casual setting and lack of professional broadcasting equipment indicate a more informal interaction.
/content/images/upload_s3/die_gruenen_25-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event;The image shows a person holding a sign at a public demonstration, which is part of a campaign event context.
/content/images/upload_s3/nicola_beer_20-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a stage setup with people seated, indicating a formal event setting, likely a political party congress or similar gathering.
/content/posts/robert.habeck/2021-09-24_20-23-24_UTC_3.jpg;Campaign Event;Campaign Event;The image shows a person holding a sign at what appears to be a public gathering or event. The presence of a crowd suggests it is part of a larger event.
/content/posts/dielinke/2021-09-24_13-08-21_UTC_2.jpg;Campaign Event;Campaign Event;The image shows a crowd of people holding signs and banners at a protest or rally, which is indicative of a public gathering or event.
/content/images/upload_s3/robert.habeck_17-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event;The image shows a large crowd gathered in a public square, indicating a political event or rally.
/content/images/upload_s3/robert.habeck_17-09-2021_00:00_image15.jpeg;Campaign Event;Campaign Event;The image shows a crowd of people, some wearing masks, which suggests they are attending an event. This aligns with the characteristics of a campaign event where spectators are present.
/content/posts/robert.habeck/2021-09-21_07-27-48_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a crowd of people gathered, likely as spectators at an event. This aligns with the characteristics of a campaign event where people are present to listen or participate.
/content/posts/dielinke/2021-09-24_13-08-21_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a protest sign in front of a government building, indicating a public demonstration or rally.
/content/images/upload_s3/olafscholz_19-09-2021_00:00_image4.jpeg;Campaign Material;Campaign Material;The image shows a T-shirt with a graphic design and text related to a political figure, which is a form of campaign material.
/content/images/upload_s3/fdp_17-09-2021_00:00_video0.jpeg;Campaign Material;Collage;The image contains a combination of text and a banner, which is typical of campaign materials or promotional content.
/content/images/upload_s3/spdde_26-09-2021_00:00_video3.jpeg;Campaign Material;Campaign Material;The image shows a group of people standing with a campaign poster, indicating the start of a campaign booth or information stand.
/content/posts/cdu/2021-09-13_12-04-40_UTC_4.jpg;Campaign Material;Campaign Material;The image shows a brochure related to the 2021 federal election, which is a type of campaign material.
/content/posts/markus.soeder/2021-09-15_15-55-29_UTC_2.jpg;Review;Media Work;The image shows a person speaking into microphones, suggesting a formal setting like a press conference or media interview.
/content/images/upload_s3/robert.habeck_18-09-2021_00:00_image4.jpeg;Review;Campaign Event;The image shows a politician interacting with people in a public setting, likely at a campaign event, as indicated by the presence of a microphone and an audience.
/content/images/upload_s3/grey_gor_25-09-2021_00:00_image0.jpeg;Review;Review;The image shows a meal at a restaurant, which does not relate to any of the categories defined for the 2021 German federal election campaign.
/content/posts/markus.soeder/2021-09-22_13-27-13_UTC.jpg;Review;Review;The image shows a formal setting with individuals holding an award and certificate, which does not fit into any of the predefined categories related to the 2021 German federal election campaign.
/content/images/upload_s3/nicola_beer_23-09-2021_00:00_image2.jpeg;Review;Behind The Scenes;The image shows a group of people in a casual setting, possibly a meeting or informal gathering, without any professional broadcasting equipment or stage setup.
/content/images/upload_s3/armin_laschet_18-09-2021_00:00_video2.jpeg;Behind The Scenes;Behind The Scenes;The image shows a politician arriving at a location, likely for a campaign-related event, as indicated by the text mentioning 'Wahlkampftag' (campaign day). This suggests preparation or transition between events.
/content/images/upload_s3/cdu_13-09-2021_00:00_image0.jpeg;Behind The Scenes;Behind The Scenes;The image shows a group of people gathered at an event, likely supporting a political candidate. It appears to be a behind-the-scenes moment at a political event, as it does not show a formal stage or speech but rather a casual gathering.
/content/posts/fw_bayern/2021-09-22_16-22-51_UTC.jpg;Review;Social Media Moderation;The image shows a person engaging directly with the camera in a casual, improvised manner, in a non-studio setting, without professional broadcasting equipment.
/content/posts/robert.habeck/2021-09-26_09-17-25_UTC.jpg;Behind The Scenes;Review;The image shows a person voting, which is not directly covered by the predefined categories. It does not fit into media work, collage, campaign event, individual voter contact, social media moderation, campaign material, or behind the scenes.
/content/posts/atesgurpinar/2021-09-19_08-42-11_UTC_5.jpg;Review;Campaign Event;The image shows a person speaking at a microphone, which suggests a formal setting like a stage or designated speaking area at a political event.
/content/images/upload_s3/saskiaesken_13-09-2021_00:00_video2.jpeg;Behind The Scenes;Behind The Scenes;The image shows a behind-the-scenes moment after a debate, with people interacting informally and text overlay describing the situation.
/content/images/upload_s3/olafscholz_24-09-2021_00:00_image1.jpeg;Review;Individual Voter Contact;The image shows a politician interacting with people, likely in a public setting, which suggests engagement with voters.
/content/images/upload_s3/abaerbock_13-09-2021_00:00_image6.jpeg;Behind The Scenes;Behind The Scenes;The image shows people in a casual setting, possibly during a break or informal gathering, which suggests a behind-the-scenes context.
/content/posts/fdp/2021-09-26_10-30-41_UTC.jpg;Collage;Collage;The image primarily contains text and a logo, which fits the criteria for a collage as it combines elements without documenting a real-world event.
/content/posts/fdp/2021-09-22_11-30-24_UTC.jpg;Collage;Collage;The image contains a combination of text, graphics, and logos, presenting information in a visually structured format.
/content/posts/die_gruenen/2021-09-22_12-01-35_UTC_1.jpg;Collage;Collage;The image primarily contains a combination of text and a photograph, celebrating a social media milestone. It is designed in a stylized manner with a focus on graphic elements.
/content/posts/fdp/2021-09-17_11-01-04_UTC.jpg;Collage;Collage;The image primarily contains a combination of text and a picture, which fits the criteria for a collage.
/content/posts/markus.soeder/2021-09-12_20-09-57_UTC.jpg;Collage;Collage;The image is a screenshot of a tweet, which is a combination of text and an image, fitting the criteria for a collage.
/content/images/upload_s3/afd.bund_26-09-2021_00:00_video1.jpeg;Collage;Media Work;The image is a combination of text and a still from a video, likely from a political speech or statement, which fits the criteria for media-related content.
/content/images/upload_s3/robert.habeck_14-09-2021_00:00_image0.jpeg;Collage;Collage;The image contains a combination of text, images, and logos, promoting an online event.
/content/posts/christlichsozialeunion/2021-09-13_14-15-00_UTC_5.jpg;Collage;Collage;The image contains a combination of text and images, focusing on a security package with police officers and information about video cameras and penalties. It is not a photograph documenting a real-world event.
/content/posts/markus.soeder/2021-09-22_05-00-10_UTC.jpg;Collage;Collage;The image contains a combination of text and a photograph, which is typical of a collage. It features a person with a message about inflation, presented in a stylized format.
/content/posts/dielinke/2021-09-24_10-23-32_UTC.jpg;Collage;Collage;The image contains a combination of text, graphics, and a logo, which is typical of a collage used for campaign messaging.
/content/posts/afd.bund/2021-09-19_13-04-12_UTC.jpg;Collage;Collage;The image contains a combination of text, images, and logos, which fits the criteria for a collage.
/content/images/upload_s3/fw_bayern_17-09-2021_00:00_video0.jpeg;Collage;Behind The Scenes;The image shows two individuals posing together with text overlay describing a visit by a political group. It does not depict a stage, media work, or direct voter interaction.
/content/images/upload_s3/spdde_25-09-2021_00:00_video6.jpeg;Collage;Collage;The image contains a combination of text and images, including a prominent quote and a photo of a politician, which fits the criteria for a collage.
/content/images/upload_s3/christlichsozialeunion_25-09-2021_00:00_video4.jpeg;Behind The Scenes;Behind The Scenes;The image shows a table setting with a name card, suggesting preparation for an event. It provides a behind-the-scenes view of the setup for a political gathering.
/content/posts/christlichsozialeunion/2021-09-21_06-00-11_UTC.jpg;Collage;Collage;The image contains a combination of text and a photograph, with a logo present, which fits the criteria for a collage.
/content/posts/markus.soeder/2021-09-15_05-00-53_UTC.jpg;Collage;Collage;The image contains a combination of text and a photograph, focusing on a political message rather than documenting a real-world event.
/content/posts/saskiaesken/2021-09-16_19-26-40_UTC.jpg;Collage;Collage;The image contains a combination of text and a picture, promoting an appearance on a radio show, which fits the criteria for a collage.
/content/posts/christlichsozialeunion/2021-09-14_14-40-43_UTC_4.jpg;Collage;Collage;The image contains a combination of text and a photograph, with a political message and a logo, which fits the criteria for a collage.
/content/posts/die_gruenen/2021-09-26_17-47-12_UTC.jpg;Collage;Collage;The image contains a combination of text and a photograph, which is typical of a collage. It includes a thank you message and a logo, suggesting a promotional or campaign-related design.
/content/posts/cdu/2021-09-20_12-12-13_UTC.jpg;Collage;Collage;The image primarily contains text with a hashtag, which does not fit into categories like Media Work or Campaign Material. It is a simple text-based image.
/content/images/upload_s3/atesgurpinar_15-09-2021_00:00_image0.jpeg;Collage;Collage;The image is a combination of text and a portrait, likely used for promotional purposes on social media, but it does not depict a real-world event or interaction.
/content/images/upload_s3/engin_eroglu__17-09-2021_00:00_image3.jpeg;Collage;Collage;The image primarily contains text overlaid on a background, which includes a building. It does not document a real-world event but rather provides information in a stylized format.
/content/images/upload_s3/spdde_22-09-2021_00:00_image0.jpeg;Collage;Collage;The image contains a combination of text, a logo, and a picture of a person, which fits the criteria for a collage.
/content/images/upload_s3/cdu_16-09-2021_00:00_video9.jpeg;Collage;Collage;The image primarily contains a combination of text and graphics, without depicting a real-world event.
/content/images/upload_s3/dielinke_17-09-2021_00:00_image1.jpeg;Collage;Collage;The image contains a combination of text and a photograph, focusing on campaign activities and instructions, which fits the definition of a collage.
/content/posts/die_gruenen/2021-09-23_12-40-16_UTC_1.jpg;Collage;Collage;The image contains a combination of text, a logo, and pictures, which fits the criteria for a collage.
/content/images/upload_s3/grey_gor_21-09-2021_00:00_video0.jpeg;Collage;Collage;The image primarily contains a combination of text, graphics, and logos, which is indicative of a collage rather than a photograph documenting a real-world event.
/content/images/upload_s3/abaerbock_13-09-2021_00:00_image0.jpeg;Collage;Collage;The image contains a combination of text and a picture, promoting a TV event featuring a politician. It is not a photograph documenting a real-world event but rather a promotional graphic.
/content/posts/abaerbock/2021-09-19_20-21-33_UTC.jpg;Collage;Campaign Material;The image primarily contains text and a logo, which suggests it is a piece of campaign material such as a poster or sign.
/content/posts/engin_eroglu_/2021-09-13_15-00-22_UTC_1.jpg;Collage;Collage;The image primarily contains a combination of text, images, and logos, which fits the criteria for a collage.
/content/posts/christlichsozialeunion/2021-09-22_05-30-15_UTC.jpg;Collage;Collage;The image contains a combination of text and a photograph, which is typical of a collage used for campaign messaging.
/content/images/upload_s3/markus.soeder_17-09-2021_00:00_image1.jpeg;Collage;Collage;The image contains a combination of text and a photograph of a politician, which is typical of a social media post or promotional material. It does not document a real-world event directly but rather presents a message or statement.
/content/images/upload_s3/markus.soeder_17-09-2021_00:00_image0.jpeg;Collage;Collage;The image contains a combination of text and a photograph, resembling a social media post with a political message. It does not document a real-world event but is more of a promotional or informational graphic.
/content/images/upload_s3/christlichsozialeunion_22-09-2021_00:00_image1.jpeg;Collage;Collage;The image contains a combination of text, images, and logos, which is characteristic of a collage.
/content/images/upload_s3/cdu_24-09-2021_00:00_video1.jpeg;Collage;Collage;The image contains a combination of text and graphics, which fits the criteria for a collage.
/content/images/upload_s3/die_gruenen_26-09-2021_00:00_video10.jpeg;Collage;Collage;The image contains a combination of text and imagery, suggesting a message or theme rather than documenting a real-world event.
